Аккаунт,ID,"Tue, 6. 12:00 ","Tue, 13. 12:00 "
Carusell/WhiteBird,AA195783946319400960,243,8
MyGames MENA FZ LLC,AA254873800273182720,0,0
ZT/DukPay Limited (MLBB) SBP-RUB,3921,"2,320","2,343"
ZT/DukPay Limited Moonton T-Pay (desktop-QR) RUB,1444,0,0
ZT/DukPay Limited Moonton T-Pay RUB,1443,0,0
ZT/DukPay Limited Moonton SberPay (desktop-QR) RUB,1446,0,0
ZT/DukPay Limited Moonton SberPay RUB,1445,,
ZT/DukPay Limited Moonton RUB,1447,165,240
ZT/DukPay Limited (Buffbuff) SBP-RUB,4002,20,16
ZT/DukPay Limited Buffbuff T-Pay (desktop-QR) RUB,1502,,
ZT/DukPay Limited Buffbuff T-Pay RUB,1501,,
ZT/DukPay Limited Buffbuff RUB,1503,0,0
ZT/DukPay Limited Cards KZT,1550,4,10
ZT/Pagsmile Limited (smile.one) RUB,1507,1,1
ZT/Pagsmile Limited (smile.one) T-Pay (desktop-QR) RUB,1508,9,13
ZT/Pagsmile Limited (smile.one) T-Pay RUB,1509,218,316
ZT/Pagsmile Limited (smile.one) SBP-RUB,3810,0,
ZT/Pagsmile Limited RUB,1289,0,0
ZT/Pagsmile Limited T-Pay RUB,1257,,
ZT/Pagsmile Limited T-Pay (desktop-QR) RUB,1258,0,0
ZT/Pagsmile Limited SberPay RUB,1386,,
ZT/Pagsmile Limited SBP-RUB,3673,,
ZT/Pagsmile Limited (BuffBuff) SBP-RUB,4227,0,35
ZT/Pagsmile Limited (BuffBuff) Cards RUB,1677,0,1
ZT/Pagsmile Limited (BuffBuff) T-Pay RUB,1678,0,0
ZT/Pagsmile Limited (BuffBuff) SberPay RUB,1679,0,0
ZT/Pagsmile Limited (BuffBuff) T-Pay (desktop-QR) RUB,1680,0,2
ZT/Pagsmile Limited Cards KZT,1547,5,8
Pagsmile Limited,AA257439891205799936,"4,723","2,015"
ZT/SWOOSHTRANSFER Ltd T-Pay Funplus RUB,1365,1,1
ZT/SWOOSHTRANSFER Ltd T-Pay (desktop-QR) Funplus RUB,1366,0,0
ZT/SWOOSHTRANSFER Ltd Funplus RUB,1364,0,0
ZT/SWOOSHTRANSFER Ltd SberPay (push flow) Funplus RUB,1462,0,0
ZT/SWOOSHTRANSFER Ltd SberPay Funplus RUB,1381,36,46
ZT/SWOOSHTRANSFER LTD (Funplus) SBP-RUB,3787,2,
SWOOSHTRANSFER LTD,AA237116718312734720,439,482
ZT/SWOOSHTRANSFER Ltd Cards Poizon RUB,1350,46,64
ZT/SWOOSHTRANSFER LTD (Рoizon) SBP-RUB,3834,1,0
ZT/SWOOSHTRANSFER Ltd T-Pay (desktop-QR) Poizon RUB,1352,0,2
ZT/SWOOSHTRANSFER Ltd T-Pay Poizon RUB,1351,51,110
ZT/SWOOSHTRANSFER Ltd SberPay (push flow) Poizon RUB,1463,0,0
